annotation_id,image_id,file_name,image_width,image_height,category_id,category_label,bbox_X,bbox_Y,bbox_width,bbox_height
0,1,00001.jpg,1280,720,1,Bad color,246,423,337,209
1,2,00005.jpg,1280,720,3,Absorption,566,351,67,73
2,3,00006.jpg,1280,720,2,Anthrax,957,200,131,136
3,4,00008.jpg,1280,720,1,Bad color,560,49,483,493
4,5,00009.jpg,1280,720,1,Bad color,595,454,142,97
5,6,00011.jpg,1280,720,2,Anthrax,331,527,39,24
6,7,00012.jpg,1280,720,3,Absorption,529,160,185,138
7,8,00016.jpg,1280,720,1,Bad color,577,241,178,184
8,9,00017.jpg,1280,720,2,Anthrax,545,259,45,47
9,10,00018.jpg,1344,1008,2,Anthrax,405,362,50,56
10,10,00018.jpg,1344,1008,2,Anthrax,819,187,66,58
11,10,00018.jpg,1344,1008,2,Anthrax,674,675,54,66
12,10,00018.jpg,1344,1008,2,Anthrax,424,620,58,58
13,10,00018.jpg,1344,1008,2,Anthrax,315,258,40,48
14,11,00019.jpg,1536,1152,2,Anthrax,614,320,253,245
15,12,00020.jpg,1280,720,1,Bad color,252,245,215,339
16,13,00021.jpg,1280,720,1,Bad color,414,381,96,143
17,14,00023.jpg,1280,720,1,Bad color,438,91,278,577
18,14,00023.jpg,1280,720,3,Absorption,127,371,490,307
19,15,00025.jpg,1152,1536,1,Bad color,84,1018,918,518
20,15,00025.jpg,1152,1536,1,Bad color,84,447,503,569
21,15,00025.jpg,1152,1536,2,Anthrax,637,933,255,187
22,15,00025.jpg,1152,1536,2,Anthrax,268,669,100,116
23,15,00025.jpg,1152,1536,2,Anthrax,357,577,130,121
24,15,00025.jpg,1152,1536,2,Anthrax,465,503,79,48
25,16,00028.jpg,1152,1536,2,Anthrax,812,467,47,61
26,16,00028.jpg,1152,1536,2,Anthrax,718,736,61,64
27,17,00029.jpg,1280,720,1,Bad color,3,9,643,526
28,18,00032.jpg,1280,720,2,Anthrax,287,338,94,78
29,18,00032.jpg,1280,720,2,Anthrax,518,289,32,38
30,19,00033.jpg,1344,1008,2,Anthrax,465,254,347,236
31,19,00033.jpg,1344,1008,2,Anthrax,860,303,52,47
32,19,00033.jpg,1344,1008,2,Anthrax,753,506,41,33
33,19,00033.jpg,1344,1008,2,Anthrax,818,456,34,24
34,19,00033.jpg,1344,1008,2,Anthrax,704,672,32,22
35,19,00033.jpg,1344,1008,2,Anthrax,868,664,34,38
36,19,00033.jpg,1344,1008,2,Anthrax,548,744,38,26
37,19,00033.jpg,1344,1008,2,Anthrax,532,596,32,29
38,19,00033.jpg,1344,1008,2,Anthrax,559,630,24,27
39,20,00036.jpg,1280,720,1,Bad color,447,396,188,89
40,21,00038.jpg,1280,720,2,Anthrax,896,393,37,27
41,21,00038.jpg,1280,720,2,Anthrax,872,363,46,29
42,22,00041.jpg,1344,1008,2,Anthrax,626,564,44,33
43,22,00041.jpg,1344,1008,2,Anthrax,504,333,59,49
44,22,00041.jpg,1344,1008,2,Anthrax,920,371,48,33
45,22,00041.jpg,1344,1008,3,Absorption,765,594,201,53
46,23,00044.jpg,1280,720,2,Anthrax,668,103,24,31
47,23,00044.jpg,1280,720,2,Anthrax,703,103,21,25
48,24,00045.jpg,1280,720,2,Anthrax,674,176,38,83
49,25,00046.jpg,1280,720,5,Black spot,1015,256,59,94
50,25,00046.jpg,1280,720,1,Bad color,775,87,324,425
51,26,00050.jpg,1280,720,1,Bad color,482,274,265,210
52,27,00051.jpg,1280,720,1,Bad color,208,177,331,276
53,28,00052.jpg,1152,1536,2,Anthrax,278,397,364,541
54,28,00052.jpg,1152,1536,2,Anthrax,261,948,108,122
55,29,00054.jpg,1280,720,1,Bad color,181,79,737,461
56,30,00056.jpg,1280,720,2,Anthrax,554,455,89,71
57,31,00059.jpg,1280,720,1,Bad color,150,293,304,211
58,32,00062.jpg,1280,720,1,Bad color,245,326,225,164
59,33,00063.jpg,1280,720,2,Anthrax,566,335,71,49
60,33,00063.jpg,1280,720,1,Bad color,476,166,277,150
61,34,00064.jpg,1280,720,1,Bad color,550,255,329,358
62,35,00068.jpg,1152,1536,2,Anthrax,823,979,47,72
63,35,00068.jpg,1152,1536,2,Anthrax,708,680,68,68
64,35,00068.jpg,1152,1536,2,Anthrax,468,788,47,68
65,36,00069.jpg,1280,720,1,Bad color,143,257,254,210
66,37,00072.jpg,1280,720,1,Bad color,304,437,162,141
67,38,00075.jpg,1280,720,2,Anthrax,627,107,52,27
68,39,00076.jpg,1088,816,2,Anthrax,576,493,29,37
69,40,00077.jpg,1344,1008,2,Anthrax,919,604,29,33
70,41,00080.jpg,1280,720,1,Bad color,731,215,143,217
71,42,00081.jpg,1280,720,2,Anthrax,575,296,125,57
72,43,00082.jpg,1152,1536,2,Anthrax,900,668,39,83
73,43,00082.jpg,1152,1536,2,Anthrax,636,871,55,99
74,43,00082.jpg,1152,1536,2,Anthrax,458,590,49,56
75,44,00086.jpg,1280,720,1,Bad color,643,221,219,179
76,45,00087.jpg,1280,720,2,Anthrax,564,379,49,26
77,45,00087.jpg,1280,720,2,Anthrax,509,518,92,49
78,46,00090.jpg,1152,1536,2,Anthrax,735,607,51,57
79,46,00090.jpg,1152,1536,2,Anthrax,480,596,38,47
80,47,00091.jpg,1280,720,1,Bad color,556,322,215,194
81,48,00092.jpg,1280,720,2,Anthrax,284,298,72,57
82,49,00096.jpg,1344,1008,2,Anthrax,718,754,108,51
83,49,00096.jpg,1344,1008,2,Anthrax,445,766,257,98
84,49,00096.jpg,1344,1008,5,Black spot,465,346,372,132
85,49,00096.jpg,1344,1008,2,Anthrax,314,331,110,81
86,49,00096.jpg,1344,1008,2,Anthrax,500,186,119,36
87,49,00096.jpg,1344,1008,2,Anthrax,579,254,75,57
88,49,00096.jpg,1344,1008,2,Anthrax,375,271,35,25
89,49,00096.jpg,1344,1008,2,Anthrax,439,267,32,38
90,49,00096.jpg,1344,1008,2,Anthrax,479,244,92,60
91,50,00098.jpg,1280,720,1,Bad color,0,427,370,151
92,51,00099.jpg,1280,720,1,Bad color,529,318,142,85
93,52,00100.jpg,1280,720,2,Anthrax,556,474,40,36
94,52,00100.jpg,1280,720,2,Anthrax,607,495,27,30
95,53,00101.jpg,1280,720,1,Bad color,370,64,230,501
96,54,00102.jpg,1280,720,1,Bad color,524,316,124,101
97,55,00103.jpg,1088,816,2,Anthrax,458,298,349,367
98,56,00104.jpg,1280,720,3,Absorption,531,415,133,107
99,57,00105.jpg,1280,720,1,Bad color,221,438,321,145
100,58,00106.jpg,1280,720,1,Bad color,805,220,123,223
101,59,00107.jpg,1344,1008,2,Anthrax,598,513,182,169
102,59,00107.jpg,1344,1008,2,Anthrax,520,683,171,165
103,59,00107.jpg,1344,1008,2,Anthrax,817,716,59,36
104,59,00107.jpg,1344,1008,2,Anthrax,993,708,96,136
105,59,00107.jpg,1344,1008,2,Anthrax,308,403,127,123
106,59,00107.jpg,1344,1008,1,Bad color,92,74,686,827
107,60,00112.jpg,1152,1536,2,Anthrax,710,542,38,85
108,60,00112.jpg,1152,1536,2,Anthrax,237,577,294,384
109,61,00113.jpg,1280,720,1,Bad color,288,243,283,172
110,62,00117.jpg,1280,720,2,Anthrax,406,397,51,30
111,63,00119.jpg,1344,1008,1,Bad color,1111,348,150,161
112,63,00119.jpg,1344,1008,3,Absorption,470,572,479,203
113,64,00123.jpg,1280,720,2,Anthrax,255,404,55,53
114,65,00124.jpg,1344,1008,2,Anthrax,587,415,52,53
115,65,00124.jpg,1344,1008,2,Anthrax,714,475,57,59
116,65,00124.jpg,1344,1008,2,Anthrax,480,483,51,74
117,65,00124.jpg,1344,1008,2,Anthrax,431,410,52,33
118,65,00124.jpg,1344,1008,2,Anthrax,884,537,46,35
119,65,00124.jpg,1344,1008,3,Absorption,909,327,95,91
120,66,00125.jpg,1344,1008,2,Anthrax,768,315,223,229
121,66,00125.jpg,1344,1008,5,Black spot,1004,455,47,50
122,66,00125.jpg,1344,1008,5,Black spot,594,510,154,102
123,66,00125.jpg,1344,1008,5,Black spot,699,658,114,182
124,67,00127.jpg,1280,720,1,Bad color,590,219,99,107
125,68,00129.jpg,1280,720,1,Bad color,494,341,156,144
126,69,00136.jpg,1280,720,2,Anthrax,466,464,40,33
127,70,00137.jpg,1280,720,2,Anthrax,601,462,167,211
128,70,00137.jpg,1280,720,1,Bad color,55,46,743,674
129,71,00140.jpg,1344,1008,2,Anthrax,345,428,376,144
130,71,00140.jpg,1344,1008,2,Anthrax,539,274,130,147
131,72,00141.jpg,1280,720,4,Machine damage,668,145,86,63
132,73,00144.jpg,1280,720,1,Bad color,491,285,264,180
133,74,00145.jpg,1280,720,3,Absorption,220,128,232,152
134,75,00148.jpg,1344,1008,2,Anthrax,689,510,336,205
135,75,00148.jpg,1344,1008,2,Anthrax,909,162,190,140
136,75,00148.jpg,1344,1008,2,Anthrax,1164,289,75,62
137,75,00148.jpg,1344,1008,2,Anthrax,673,141,136,79
138,75,00148.jpg,1344,1008,2,Anthrax,440,261,50,35
139,76,00150.jpg,1280,720,1,Bad color,316,64,337,372
140,77,00151.jpg,1344,1008,2,Anthrax,595,387,319,314
141,77,00151.jpg,1344,1008,2,Anthrax,659,747,62,44
142,77,00151.jpg,1344,1008,2,Anthrax,939,738,107,134
143,78,00152.jpg,1280,720,1,Bad color,491,352,252,195
144,79,00154.jpg,1280,720,1,Bad color,122,65,748,646
145,80,00157.jpg,1280,720,1,Bad color,265,128,610,552
146,81,00162.jpg,1280,720,1,Bad color,352,69,451,515
147,82,00166.jpg,1280,720,1,Bad color,476,207,182,186
148,83,00167.jpg,1280,720,2,Anthrax,471,161,349,403
149,84,00168.jpg,1280,720,1,Bad color,458,153,534,531
150,85,00173.jpg,1152,1536,2,Anthrax,177,469,578,681
151,85,00173.jpg,1152,1536,2,Anthrax,755,418,155,744
152,85,00173.jpg,1152,1536,2,Anthrax,470,238,191,224
153,85,00173.jpg,1152,1536,2,Anthrax,406,1333,99,87
154,86,00174.jpg,1280,720,1,Bad color,480,213,163,167
155,87,00175.jpg,1280,720,1,Bad color,626,388,137,126
156,88,00180.jpg,1280,720,3,Absorption,442,360,56,71
157,89,00184.jpg,1152,1536,2,Anthrax,323,290,477,441
158,90,00185.jpg,1280,720,1,Bad color,573,278,193,156
159,91,00186.jpg,1280,720,1,Bad color,43,17,465,375
160,91,00186.jpg,1280,720,1,Bad color,103,363,542,349
161,92,00187.jpg,1280,720,2,Anthrax,711,431,63,68
162,92,00187.jpg,1280,720,2,Anthrax,1031,514,36,47
163,92,00187.jpg,1280,720,3,Absorption,643,422,346,276
164,92,00187.jpg,1280,720,1,Bad color,311,240,88,154
165,93,00189.jpg,1344,1008,1,Bad color,99,142,263,768
166,93,00189.jpg,1344,1008,1,Bad color,363,632,686,330
167,93,00189.jpg,1344,1008,3,Absorption,394,689,270,262
168,94,00192.jpg,1344,1008,2,Anthrax,777,621,80,84
169,94,00192.jpg,1344,1008,2,Anthrax,498,390,42,37
170,95,00193.jpg,1280,720,1,Bad color,113,274,182,213
171,96,00194.jpg,1280,720,2,Anthrax,540,359,64,38
172,96,00194.jpg,1280,720,2,Anthrax,505,295,59,44
173,96,00194.jpg,1280,720,2,Anthrax,359,221,71,56
174,96,00194.jpg,1280,720,2,Anthrax,456,251,51,36
175,97,00199.jpg,1280,720,3,Absorption,536,248,364,217
176,98,00200.jpg,1280,720,2,Anthrax,559,491,47,26
177,99,00201.jpg,1344,1008,2,Anthrax,377,256,242,651
178,99,00201.jpg,1344,1008,2,Anthrax,187,279,189,418
179,99,00201.jpg,1344,1008,2,Anthrax,621,329,297,487
180,99,00201.jpg,1344,1008,2,Anthrax,357,92,257,132
181,99,00201.jpg,1344,1008,2,Anthrax,639,159,194,167
182,99,00201.jpg,1344,1008,2,Anthrax,1061,562,57,67
183,99,00201.jpg,1344,1008,2,Anthrax,1126,674,47,54
184,99,00201.jpg,1344,1008,2,Anthrax,890,170,85,149
185,99,00201.jpg,1344,1008,2,Anthrax,198,130,62,55
186,100,00202.jpg,1344,1008,2,Anthrax,620,101,143,70
187,100,00202.jpg,1344,1008,2,Anthrax,987,355,60,51
188,100,00202.jpg,1344,1008,2,Anthrax,898,366,45,46
189,100,00202.jpg,1344,1008,2,Anthrax,831,410,46,48
190,100,00202.jpg,1344,1008,2,Anthrax,838,694,122,169
191,100,00202.jpg,1344,1008,2,Anthrax,632,606,37,60
192,100,00202.jpg,1344,1008,2,Anthrax,670,618,84,89
193,101,00203.jpg,1280,720,2,Anthrax,721,353,26,41
194,102,00205.jpg,1344,1008,2,Anthrax,634,787,24,17
195,102,00205.jpg,1344,1008,2,Anthrax,920,701,20,37
196,103,00206.jpg,1280,720,1,Bad color,540,445,157,118
197,104,00207.jpg,1280,720,1,Bad color,489,375,221,190
198,105,00211.jpg,816,816,2,Anthrax,294,187,81,61
199,105,00211.jpg,816,816,2,Anthrax,315,241,84,62
200,106,00212.jpg,1280,720,2,Anthrax,123,127,211,208
201,107,00214.jpg,1280,720,3,Absorption,329,391,189,140
202,108,00216.jpg,1280,720,2,Anthrax,99,347,73,78
203,108,00216.jpg,1280,720,1,Bad color,248,240,332,294
204,109,00217.jpg,1280,720,1,Bad color,152,328,222,158
205,110,00218.jpg,1280,720,2,Anthrax,621,368,39,21
206,111,00221.jpg,1344,1008,2,Anthrax,671,703,53,33
207,112,00222.jpg,1280,720,2,Anthrax,569,222,31,25
208,113,00225.jpg,1280,720,2,Anthrax,671,114,24,18
209,114,00227.jpg,1280,720,2,Anthrax,359,140,47,51
210,115,00228.jpg,1280,720,1,Bad color,584,253,152,154
211,116,00229.jpg,1344,1008,3,Absorption,578,230,183,76
212,116,00229.jpg,1344,1008,5,Black spot,307,446,155,193
213,116,00229.jpg,1344,1008,2,Anthrax,287,60,158,106
214,116,00229.jpg,1344,1008,5,Black spot,452,122,37,49
215,116,00229.jpg,1344,1008,2,Anthrax,556,107,43,47
216,116,00229.jpg,1344,1008,5,Black spot,751,389,30,39
217,116,00229.jpg,1344,1008,5,Black spot,185,185,262,186
218,117,00231.jpg,1280,720,2,Anthrax,603,302,53,93
219,118,00233.jpg,1280,720,2,Anthrax,563,254,64,77
220,119,00235.jpg,1280,720,3,Absorption,489,294,226,349
221,120,00236.jpg,1280,720,1,Bad color,272,282,134,159
222,121,00238.jpg,1280,720,2,Anthrax,510,268,39,26
223,122,00243.jpg,1152,1536,5,Black spot,793,491,31,57
224,123,00245.jpg,1280,720,2,Anthrax,357,290,53,46
225,124,00246.jpg,1280,720,4,Machine damage,503,156,55,114
226,125,00248.jpg,1280,720,2,Anthrax,781,393,59,56
227,125,00248.jpg,1280,720,2,Anthrax,601,317,66,52
228,126,00252.jpg,1280,720,1,Bad color,714,190,125,119
229,127,00253.jpg,1280,720,2,Anthrax,649,326,61,55
230,128,00254.jpg,1280,720,1,Bad color,218,199,220,150
231,129,00256.jpg,1280,720,1,Bad color,283,236,417,264
232,130,00259.jpg,1344,1008,3,Absorption,443,303,186,96
233,131,00263.jpg,1280,720,1,Bad color,591,208,149,99
234,132,00265.jpg,1344,1008,1,Bad color,790,573,350,212
235,133,00273.jpg,1280,720,2,Anthrax,674,207,34,34
236,134,00274.jpg,1280,720,3,Absorption,398,211,178,234
237,135,00275.jpg,1280,720,4,Machine damage,384,341,81,94
238,135,00275.jpg,1280,720,2,Anthrax,491,662,191,58
239,135,00275.jpg,1280,720,1,Bad color,240,163,646,520
240,136,00276.jpg,1280,720,1,Bad color,146,13,585,678
241,137,00280.jpg,1152,1536,1,Bad color,164,367,801,1057
242,137,00280.jpg,1152,1536,2,Anthrax,581,625,98,122
243,137,00280.jpg,1152,1536,2,Anthrax,443,550,67,87
244,137,00280.jpg,1152,1536,2,Anthrax,580,922,49,51
245,137,00280.jpg,1152,1536,2,Anthrax,590,752,32,41
246,137,00280.jpg,1152,1536,2,Anthrax,834,862,35,57
247,137,00280.jpg,1152,1536,5,Black spot,741,601,41,47
248,137,00280.jpg,1152,1536,5,Black spot,735,710,43,55
249,138,00284.jpg,1280,720,2,Anthrax,533,200,33,48
250,139,00286.jpg,1280,720,1,Bad color,438,374,314,306
251,140,00290.jpg,1280,720,1,Bad color,658,323,77,71
252,141,00291.jpg,1280,720,3,Absorption,303,160,169,141
253,142,00297.jpg,1280,720,1,Bad color,431,170,245,259
254,143,00299.jpg,1536,1152,2,Anthrax,486,671,95,109
255,144,00301.jpg,1280,720,1,Bad color,327,439,107,80
256,145,00302.jpg,1280,720,1,Bad color,239,432,199,129
257,146,00307.jpg,1280,720,1,Bad color,387,103,198,223
258,147,00311.jpg,1280,720,1,Bad color,634,305,157,160
259,148,00313.jpg,1344,1008,2,Anthrax,1131,628,46,61
260,148,00313.jpg,1344,1008,2,Anthrax,462,529,93,72
261,148,00313.jpg,1344,1008,2,Anthrax,826,494,46,47
262,148,00313.jpg,1344,1008,2,Anthrax,550,684,54,49
263,149,00314.jpg,1280,720,2,Anthrax,396,496,225,192
264,149,00314.jpg,1280,720,1,Bad color,196,111,475,409
265,150,00315.jpg,1280,720,1,Bad color,98,283,243,197
266,151,00316.jpg,1280,720,2,Anthrax,563,350,30,26
267,152,00323.jpg,1344,1008,2,Anthrax,565,286,70,76
268,152,00323.jpg,1344,1008,2,Anthrax,486,571,116,118
269,152,00323.jpg,1344,1008,2,Anthrax,640,262,79,60
270,153,00324.jpg,1344,1008,5,Black spot,420,559,43,35
271,153,00324.jpg,1344,1008,5,Black spot,497,582,210,93
272,153,00324.jpg,1344,1008,5,Black spot,926,450,36,36
273,154,00325.jpg,1344,1008,2,Anthrax,768,366,76,57
274,154,00325.jpg,1344,1008,2,Anthrax,245,620,87,97
275,154,00325.jpg,1344,1008,2,Anthrax,818,246,34,50
276,155,00328.jpg,1344,1008,2,Anthrax,648,843,33,32
277,155,00328.jpg,1344,1008,2,Anthrax,1029,355,30,30
278,156,00329.jpg,1280,720,2,Anthrax,716,472,50,70
279,157,00331.jpg,1344,1008,2,Anthrax,840,575,69,67
280,157,00331.jpg,1344,1008,2,Anthrax,952,386,43,38
281,157,00331.jpg,1344,1008,2,Anthrax,568,317,64,72
282,157,00331.jpg,1344,1008,2,Anthrax,624,212,50,50
283,157,00331.jpg,1344,1008,2,Anthrax,662,240,42,61
284,158,00336.jpg,1280,720,1,Bad color,577,220,134,138
285,159,00343.jpg,1280,720,1,Bad color,497,375,288,248
286,160,00344.jpg,1344,1008,2,Anthrax,562,332,49,37
287,160,00344.jpg,1344,1008,2,Anthrax,603,632,62,70
288,160,00344.jpg,1344,1008,2,Anthrax,506,660,59,44
289,160,00344.jpg,1344,1008,2,Anthrax,36,330,87,74
290,161,00345.jpg,1536,1152,2,Anthrax,950,268,47,41
291,162,00347.jpg,1280,720,1,Bad color,425,96,212,145
292,163,00348.jpg,1280,720,1,Bad color,569,223,139,188
293,164,00349.jpg,1280,720,1,Bad color,51,24,722,680
294,165,00351.jpg,1280,720,2,Anthrax,516,220,49,41
295,166,00352.jpg,1280,720,1,Bad color,579,343,184,153
296,167,00353.jpg,1280,720,1,Bad color,321,67,612,573
297,168,00354.jpg,1152,1536,2,Anthrax,212,475,44,79
298,168,00354.jpg,1152,1536,2,Anthrax,102,750,62,115
299,168,00354.jpg,1152,1536,2,Anthrax,202,824,100,181
300,168,00354.jpg,1152,1536,2,Anthrax,308,629,101,161
301,168,00354.jpg,1152,1536,2,Anthrax,380,434,39,58
302,168,00354.jpg,1152,1536,2,Anthrax,474,428,466,746
303,169,00360.jpg,1280,720,1,Bad color,797,142,79,86
304,170,00363.jpg,1088,816,2,Anthrax,300,247,46,64
305,170,00363.jpg,1088,816,2,Anthrax,388,177,235,280
306,170,00363.jpg,1088,816,2,Anthrax,655,353,69,61
307,170,00363.jpg,1088,816,2,Anthrax,441,469,116,115
308,171,00364.jpg,1280,720,1,Bad color,493,363,149,127
309,172,00365.jpg,1280,720,1,Bad color,131,271,207,207
310,173,00366.jpg,1280,720,2,Anthrax,511,185,46,56
311,174,00367.jpg,1280,720,1,Bad color,310,175,120,90
312,175,00368.jpg,1344,1008,3,Absorption,388,320,615,452
313,176,00369.jpg,1280,720,1,Bad color,596,404,254,231
314,177,00371.jpg,1088,816,2,Anthrax,229,224,287,300
315,178,00374.jpg,1280,720,1,Bad color,516,290,175,283
316,179,00375.jpg,1280,720,1,Bad color,663,273,110,167
317,180,00377.jpg,1280,720,2,Anthrax,641,200,83,105
318,180,00377.jpg,1280,720,1,Bad color,293,10,476,661
319,181,00380.jpg,1344,1008,2,Anthrax,365,221,295,134
320,181,00380.jpg,1344,1008,5,Black spot,516,725,56,57
321,181,00380.jpg,1344,1008,5,Black spot,472,471,51,77
322,181,00380.jpg,1344,1008,5,Black spot,574,394,81,101
323,181,00380.jpg,1344,1008,5,Black spot,266,353,62,53
324,181,00380.jpg,1344,1008,2,Anthrax,435,114,95,72
325,181,00380.jpg,1344,1008,5,Black spot,797,654,55,54
326,181,00380.jpg,1344,1008,5,Black spot,416,601,38,49
327,181,00380.jpg,1344,1008,5,Black spot,277,459,28,34
328,181,00380.jpg,1344,1008,5,Black spot,714,704,33,38
329,181,00380.jpg,1344,1008,5,Black spot,971,504,38,43
330,181,00380.jpg,1344,1008,5,Black spot,1053,542,35,38
331,182,00381.jpg,1280,720,2,Anthrax,375,399,96,60
332,183,00383.jpg,1280,720,1,Bad color,498,275,177,78
333,183,00383.jpg,1280,720,1,Bad color,384,357,293,129
334,183,00383.jpg,1280,720,3,Absorption,471,355,92,83
335,184,00385.jpg,1280,720,2,Anthrax,640,363,124,103
336,185,00387.jpg,1280,720,2,Anthrax,558,280,101,106
337,186,00390.jpg,1280,720,3,Absorption,569,327,106,82
338,187,00392.jpg,1280,720,2,Anthrax,637,357,95,39
339,188,00394.jpg,1280,720,1,Bad color,1131,244,97,202
340,189,00395.jpg,1280,720,1,Bad color,587,232,156,101
341,190,00396.jpg,1280,720,1,Bad color,610,169,352,513
342,191,00397.jpg,1280,720,1,Bad color,41,104,662,581
343,192,00398.jpg,1280,720,1,Bad color,836,306,134,218
344,193,00400.jpg,1280,720,2,Anthrax,547,411,62,81
345,194,00401.jpg,1344,1008,2,Anthrax,703,804,25,31
346,195,00402.jpg,1280,720,2,Anthrax,744,543,123,67
347,195,00402.jpg,1280,720,2,Anthrax,813,192,38,26
348,196,00405.jpg,1344,1008,5,Black spot,1282,498,41,95
349,197,00411.jpg,1280,720,1,Bad color,522,240,173,162
350,198,00412.jpg,1280,720,1,Bad color,91,9,520,302
351,199,00415.jpg,1152,1536,2,Anthrax,428,1229,90,103
352,199,00415.jpg,1152,1536,2,Anthrax,222,505,357,571
353,200,00416.jpg,1152,1536,2,Anthrax,186,575,246,349
354,200,00416.jpg,1152,1536,2,Anthrax,309,154,516,435
355,200,00416.jpg,1152,1536,2,Anthrax,798,641,137,122
356,201,00419.jpg,1280,720,1,Bad color,223,129,578,544
357,202,00420.jpg,1280,720,1,Bad color,484,164,182,110
358,203,00421.jpg,1280,720,5,Black spot,405,365,96,87
359,204,00427.jpg,1344,1008,2,Anthrax,1083,525,86,75
360,204,00427.jpg,1344,1008,2,Anthrax,876,819,60,46
361,204,00427.jpg,1344,1008,2,Anthrax,811,269,47,44
362,204,00427.jpg,1344,1008,2,Anthrax,720,344,49,32
363,204,00427.jpg,1344,1008,2,Anthrax,966,667,37,44
364,205,00428.jpg,1280,720,1,Bad color,400,59,118,154
365,206,00429.jpg,1280,720,1,Bad color,503,339,127,165
366,207,00431.jpg,1280,720,1,Bad color,790,238,143,251
367,208,00434.jpg,1280,720,2,Anthrax,411,369,53,67
368,209,00435.jpg,1280,720,2,Anthrax,436,136,85,103
369,210,00437.jpg,1280,720,2,Anthrax,675,476,37,27
370,210,00437.jpg,1280,720,2,Anthrax,599,495,24,32
371,210,00437.jpg,1280,720,1,Bad color,552,286,263,146
372,211,00439.jpg,1280,720,2,Anthrax,610,303,52,60
373,212,00446.jpg,1280,720,1,Bad color,500,315,162,137
374,213,00449.jpg,1152,1536,2,Anthrax,705,537,44,78
375,213,00449.jpg,1152,1536,1,Bad color,289,381,714,965
376,214,00450.jpg,1088,816,2,Anthrax,452,442,119,77
377,214,00450.jpg,1088,816,2,Anthrax,499,338,194,134
378,215,00452.jpg,1280,720,1,Bad color,593,318,150,181
379,216,00453.jpg,1344,1008,1,Bad color,366,729,805,221
380,217,00456.jpg,1280,720,1,Bad color,444,116,171,82
381,217,00456.jpg,1280,720,1,Bad color,456,307,168,107
382,218,00459.jpg,1280,720,1,Bad color,378,229,430,290
383,219,00460.jpg,1536,1152,2,Anthrax,1084,568,113,125
384,219,00460.jpg,1536,1152,2,Anthrax,558,709,225,190
385,219,00460.jpg,1536,1152,2,Anthrax,805,320,279,517
386,219,00460.jpg,1536,1152,2,Anthrax,382,221,69,71
387,220,00463.jpg,1280,720,1,Bad color,539,183,244,478
388,221,00465.jpg,1280,720,1,Bad color,221,185,450,391
389,222,00467.jpg,1280,720,2,Anthrax,440,279,94,108
390,223,00470.jpg,1280,720,1,Bad color,632,78,163,155
391,224,00473.jpg,1280,720,1,Bad color,37,116,773,584
392,225,00476.jpg,1280,720,1,Bad color,620,370,139,114
393,226,00478.jpg,1536,1152,1,Bad color,1039,325,348,610
394,227,00479.jpg,1088,816,3,Absorption,313,333,162,143
395,228,00480.jpg,1344,1008,2,Anthrax,281,262,54,53
396,228,00480.jpg,1344,1008,2,Anthrax,924,250,62,64
397,228,00480.jpg,1344,1008,2,Anthrax,720,843,83,54
398,228,00480.jpg,1344,1008,1,Bad color,835,524,388,347
399,229,00481.jpg,1280,720,1,Bad color,575,234,99,104
400,230,00482.jpg,1280,720,1,Bad color,738,217,194,174
401,231,00484.jpg,1280,720,1,Bad color,484,409,106,126
402,232,00485.jpg,1280,720,1,Bad color,526,73,323,193
403,233,00491.jpg,1280,720,1,Bad color,600,211,146,118
404,234,00492.jpg,1344,1008,2,Anthrax,319,264,44,33
